Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776013111,10,,Aggregated,133.700000,0.000000,37,60,130,150,190,220,270,300,430,450,450,2558,0,37,75.94643048086724,11.870917020132765,445.28583297505975,11531.703674745895
1776013112,10,,Aggregated,134.100000,0.000000,37,60,130,160,190,220,260,300,430,450,450,2698,0,37,75.75204623906465,11.870917020132765,445.28583297505975,11497.32690882135
1776013113,10,,Aggregated,137.700000,0.000000,37,58,130,150,190,210,260,300,430,450,450,2848,0,37,75.17340688263063,11.870917020132765,445.28583297505975,11436.050210674157
1776013114,10,,Aggregated,137.500000,0.000000,37,60,130,150,190,210,260,300,430,450,450,2981,0,37,75.21382566104906,11.870917020132765,445.28583297505975,11464.687688695069
1776013115,10,,Aggregated,140.200000,0.000000,37,60,130,150,190,210,260,300,420,450,450,3117,0,37,75.19873476214946,11.870917020132765,445.28583297505975,11460.381777350016
1776013116,10,,Aggregated,139.500000,0.000000,37,59,130,150,190,210,260,300,420,450,450,3260,0,37,74.92670584129894,11.870917020132765,445.28583297505975,11457.928527607362
1776013117,10,,Aggregated,138.600000,0.000000,37,60,130,150,190,210,260,300,420,450,450,3384,0,37,75.05808466186141,11.870917020132765,445.28583297505975,11500.51684397163
1776013118,10,,Aggregated,138.700000,0.000000,37,62,130,150,190,210,260,300,420,450,450,3494,0,37,75.62963562528363,11.870917020132765,445.28583297505975,11606.649971379507
1776013119,10,,Aggregated,139.800000,0.000000,38,63,130,150,190,210,260,300,420,450,450,3606,0,38,76.06771964413011,11.870917020132765,445.28583297505975,11657.618413754853
1776013120,10,,Aggregated,136.400000,0.000000,38,64,130,150,190,210,260,300,420,450,450,3738,0,38,76.15093580277123,11.870917020132765,445.28583297505975,11619.073301230605
1776013121,10,,Aggregated,133.900000,0.000000,38,65,130,150,190,220,270,300,420,450,450,3835,0,38,76.73455988469951,11.870917020132765,445.28583297505975,11659.726727509778
1776013122,10,,Aggregated,132.200000,0.000000,38,65,130,150,190,220,260,300,420,450,450,3969,0,38,76.71870103304005,11.870917020132765,445.28583297505975,11616.952128999748
1776013123,10,,Aggregated,127.600000,0.000000,38,66,130,150,190,210,260,300,410,450,450,4096,0,38,76.73374939579247,11.870917020132765,445.28583297505975,11603.43603515625
1776013124,10,,Aggregated,127.500000,0.000000,38,66,130,150,190,210,260,300,410,450,450,4237,0,38,76.65461687306045,11.870917020132765,445.28583297505975,11562.112579655417
1776013125,10,,Aggregated,124.200000,0.000000,38,65,130,150,190,210,270,300,410,450,450,4362,0,38,76.61067114353949,11.870917020132765,445.28583297505975,11527.72512608895
1776013126,10,,Aggregated,125.300000,0.000000,38,64,130,150,190,210,260,300,410,450,450,4505,0,38,76.47305076382253,11.870917020132765,445.28583297505975,11487.231520532741
1776013127,10,,Aggregated,124.200000,0.000000,39,65,130,150,190,210,260,300,410,450,450,4638,0,39,76.35900367956808,11.870917020132765,445.28583297505975,11433.232858990945
1776013128,10,,Aggregated,124.400000,0.000000,39,65,130,150,190,210,260,300,410,450,450,4764,0,39,76.51555784378546,11.870917020132765,445.28583297505975,11424.383711167087
1776013129,10,,Aggregated,125.700000,0.000000,39,67,130,150,190,210,260,300,410,450,450,4873,0,39,76.79714692893111,11.870917020132765,445.28583297505975,11427.513851836651
1776013130,10,,Aggregated,126.700000,0.000000,39,67,130,150,190,210,260,300,400,450,450,5007,0,39,76.82896135945471,11.870917020132765,445.28583297505975,11415.818853604953
1776013131,10,,Aggregated,126.800000,0.000000,39,68,130,150,190,210,260,300,400,450,450,5131,0,39,76.85571345506094,11.870917020132765,445.28583297505975,11423.611576690704
1776013132,10,,Aggregated,126.900000,0.000000,39,69,130,150,190,210,260,300,400,450,450,5254,0,39,77.03991487149665,11.870917020132765,445.28583297505975,11431.619527978683
1776013133,10,,Aggregated,129.000000,0.000000,40,70,130,150,190,210,260,300,400,450,450,5349,0,40,77.43602966103343,11.870917020132765,445.28583297505975,11487.532809871003
1776013134,10,,Aggregated,128.400000,0.000000,40,71,130,150,190,210,260,300,400,450,450,5464,0,40,77.64178873714219,11.870917020132765,445.28583297505975,11536.424231332358
1776013135,10,,Aggregated,125.800000,0.000000,40,71,130,150,190,210,260,300,400,450,450,5583,0,40,77.75614261269902,11.870917020132765,445.28583297505975,11540.731506358588
1776013136,10,,Aggregated,123.000000,0.000000,40,72,130,150,190,210,260,300,400,450,450,5706,0,40,77.93468170885677,11.870917020132765,445.28583297505975,11550.523484051875
1776013137,10,,Aggregated,122.700000,0.000000,40,73,130,150,190,210,260,300,400,450,450,5838,0,40,77.8695390544159,11.870917020132765,445.28583297505975,11514.90390544707
1776013138,10,,Aggregated,120.300000,0.000000,41,73,130,150,190,210,260,300,400,450,450,5960,0,41,77.95978592681459,11.870917020132765,445.28583297505975,11502.19043624161
1776013139,10,,Aggregated,119.400000,0.000000,41,73,130,150,190,210,260,290,390,450,450,6106,0,41,77.74290522891211,11.51329101412557,445.28583297505975,11436.543563707828
1776013140,10,,Aggregated,119.300000,0.000000,41,74,130,150,190,210,260,300,390,450,450,6214,0,41,78.04527315878504,11.51329101412557,445.28583297505975,11469.932249758609
1776013141,10,,Aggregated,121.600000,0.000000,41,75,130,150,190,210,260,300,390,450,450,6328,0,41,78.14258863967616,11.51329101412557,445.28583297505975,11447.15881795196
1776013142,10,,Aggregated,120.500000,0.000000,41,75,130,150,190,210,260,300,390,450,450,6438,0,41,78.32141854254661,11.51329101412557,445.28583297505975,11439.35927306617
1776013143,10,,Aggregated,119.700000,0.000000,41,76,130,150,190,220,260,300,400,450,450,6537,0,41,78.68556498760074,11.51329101412557,445.28583297505975,11478.86033348631
1776013144,10,,Aggregated,118.900000,0.000000,41,75,130,150,190,220,260,300,400,450,450,6663,0,41,78.70934712051813,11.51329101412557,445.28583297505975,11498.156986342488
1776013145,10,,Aggregated,118.500000,0.000000,41,75,130,150,190,220,260,300,400,450,450,6805,0,41,78.51272912490802,11.51329101412557,445.28583297505975,11465.164290962528
1776013146,10,,Aggregated,118.400000,0.000000,41,75,130,150,190,210,260,300,400,450,450,6939,0,41,78.47499458809494,11.51329101412557,445.28583297505975,11485.651390690302
1776013147,10,,Aggregated,120.900000,0.000000,41,75,130,150,190,220,260,300,390,450,450,7036,0,41,78.79608169680773,11.51329101412557,445.28583297505975,11538.614553723706
1776013148,10,,Aggregated,123.000000,0.000000,41,75,130,150,190,220,260,300,390,450,450,7169,0,41,78.71721884454507,11.51329101412557,445.28583297505975,11528.38443297531
1776013149,10,,Aggregated,120.000000,0.000000,41,75,130,150,190,220,270,300,390,450,450,7293,0,41,78.77485298444239,11.51329101412557,445.28583297505975,11530.726175785
1776013150,10,,Aggregated,120.900000,0.000000,41,75,130,150,190,220,270,300,390,450,450,7411,0,41,78.90620592476958,11.51329101412557,445.28583297505975,11529.485764404264
1776013151,10,,Aggregated,119.000000,0.000000,41,75,130,150,190,220,270,300,390,450,450,7541,0,41,78.87122819474547,11.51329101412557,445.28583297505975,11512.11258453786
1776013152,20,,Aggregated,118.500000,0.000000,41,76,130,160,190,220,270,310,540,890,890,7582,0,41,80.1013857080634,11.51329101412557,894.4826249789912,11496.231733051965
1776013153,30,,Aggregated,120.600000,0.000000,42,78,130,160,190,220,290,340,970,1300,1300,7644,0,42,82.84649248565563,11.51329101412557,1319.1655829723459,11481.655546834118
